id,name,streetAddress,postalAddress,email,addressHeadOffice,tel,cell,fax,businessType,registeredNum,vatNum,Contact Person,registeredName,commencementDate,statusId,comment
5,Al-Moor Restaurant,280 Tangerine Str  Laudium,,,,,,,REST,,,Mr. Ismail-Khadani & Mr. Asif                     ,,1/1/03,2,
913,Alpha Conference Centre,K41 Lanseria Road  Broederstroom,P.O.Box 50  Broederstroom  0240,krish.naidu@biscali.co.za,,2051310,,2051324,OTHER,,,,Academy for Professional Training Trust           ,7/1/83,2,
855,Amazons Rest Lynnwood,164 Lynwood Rd  Equestria  0050,P.O. Box 524  Wapadrand  0050,,,8077634,,,REST,,,,,4/4/05,2,
4,Amigos,144A Church Str West  Pretoria  0002,P.O.Box 1165  Wapadrand  0050,,,(012) 326782,,,SNACK,,,P.P. Kandralides                                  ,,11/1/03,2,
7,Anat Falafel & Sharma Hatfield,Shop 44   Hatfield Plaza  Burnett Street  Hatfield,P.O. Box 11263  Die Hoewes  0163,,P.O.Box 782809  Sandton  2146,012-362 5874,829020280,,SNACK,,,Raymond Arraiol                                   ,Mastertrade 227 (Pty) Ltd                         ,4/1/00,2,
8,Anat Falafel & Shwarma,Menlyn Park Shopping Centre  Shop No 52 UL,P.O. Box 782809  Sandton  2146,,P.O. Box 783809  Sandton  2146,012-3681233,,,SNACK,,,,Mater Trade 243 Pty Ltd                           ,1/1/01,2,
1310,Anat Pretorius Str,287 Pretorius Str  Pretoria,P.O. Box 52196  Wierda Park  0149,singh@vodamial.co.za,,012-767 2928,,"865,682,441",SNACK,,,,,12/17/09,0,NOW FISH & CHIPS
582,Andys Take Away,317 Prinsloo Str  Pretoria  ,,,,,,,CAFE,,,,,10/31/99,2,
888,Angels Delight Home Industsry,Shop 3 Moreleta Square  Moreleta Park,P.O. Box 41  Moreleta Plaza  0167,,,,,9984620,OTHER,,,,,11/1/99,2,
1581,Anja's Tea Garden,144 Lylnnwood Rd  The Willows  0041,P.O. Box 70421  The Willows  0041,tea@anjasgaren.co.za,,012-807 1036,,,OTHER,,,,,2/1/09,2,
1199,Annas Pot cc,101 Griffiths  equestria,,,,,,"8,075,790",FUNC,,,,,,-1,
1093,Annikie Eating Place,1625 Block H  Soshanguve,,,,,,,SNACK,,,,,1/2/06,2,
13,Arapaho Spur,Lois & Atterbury,,,,,,,-1,,,,,4/20/00,2,
12,Arendskrantz Restaurant,Plot 3 Melody  Hartebeespoort,P.O.Box 887  Hartbeespoort,,,012-2531227,,,REST,,,Andre Vermaak                                     ,,,2,
564,Armadillo's Coffee Shop,Shop 8   Fedsure Forum  Cnr Pretorius/VD Walt,42 Witstinkhout Str  Kilnerpark  Pta  018,trolfe4@gmail.com,,012-3204012,,,OTHER,,,,Marcourt Prop 4 cc                                ,5/1/02,2,
1220,Assembly Cafe & Supermarket,299 Visagie Street  Tshwane,P.O. Box 27898  Sunnyside  0132,,,,,"3,862,314",-1,,,,,10/1/07,2,
946,At Live Restaurant,Shop 4&5  Willlow Convenience Cntr  Lynnwood   Pta,P.O.Box 15914  Lyttelton  0140,,,6648921,,6648921,REST,,,,,7/1/06,0,
14,Athens Bakery,481 Moreleta Str   Silverton,P.O. Box 2308  Silverton,,,012-8049600,,,OTHER,,,Mr. Tony Faiscal                                  ,,4/1/02,2,
746,Athina Cafe,332 Church Str  Pta West  0183,,,,012-3274775,,,CAFE,,,,,8/1/00,2,
1286,Athina Fruit & Veg,Church Str 330,,,,,,,CAFE,,,,,5/14/09,2,
223,Awat Menlyn,Shop UF 52  Menlyn Park Shopping Centre,9 Neptune Str  Atlasville  Boksburg,,,012-3681233,,012-3681233,SNACK,,,,Mastertrade 243 (Pty) Ltd                         ,12/4/00,2,
193,Azani Carerers,"Main Restaurant  Yskor Works,  Fikkie Meyer Str  Pta West",P.O.Box 11452  Tigerpoort  0056,,,012-3077748,,,FUNC,,,,,9/16/04,2,
56,B.B.'s Hyperveg,271 9th Ave,,,,,828311171,,OTHER,,,,,1/1/95,2,
25,B.T. Catering- HPCSA,Cnr Vermeulen & Hamilton Str    ,P.O.Box 26152  Arcadia  0007,,,012-3389382,835257269,,OTHER,,,,B.T. Catering & Consultancy Servcices             ,6/1/99,2,
1537,B.T. Catering The Orchards,"29 Lith Rd,   The Orchards  Akasia",P.O. Box 26152  Akasia,btcatering@tiscali.co.za,,012-755 5789,,"866,952,793",-1,,,,,1/1/12,2,
24,B.T. Catering-Compensation House,Cnr Soutpansberg Rd & Hamilton Str,P.O.Box 26152  Arcadia  0007,,,012-3199214,835257269,,OTHER,,,,B.T. Catering & Consultancy Services              ,9/1/01,2,
23,B.T. Catering-Pta West College of Engineering,150 Industrial Rd  Pretoria West  0127,P.O.Box 26152  Arcadia  ,,,012-3861251X220,,,OTHER,,,,B.T. Catering & Consultancy Services              ,4/30/01,2,
1299,Baba's Pub,Plot 12  Lavender Rd  Wonderboom,,tinonel@yahoo.com.au,,,,,-1,,,,,7/3/09,2,
50,Bagel Cafe,Atterbury Rd  Menly Park Shopping Centre,P.O.Box 3290  Rivonia  2128,,,012-3651715,,,CAFE,,,Doran Rahamim (Hayley)                            ,,11/28/00,2,
51,Bakers Oven,Cnr 9th & 4th Ave  Laudium  0037,P.O.Box 13336  Laudium  0037,,,012-3741599,,,OTHER,,,Poppy                                             ,2003/000351/23                                    ,3/1/03,2,
772,Bandeiros Take Away,Van Velden Str  Brits,P.O. Box 426  Ifafi,,,2522828,,,SNACK,,,,,6/1/02,-1,
796,Bank Tearoom,899 Voortrekker Rd  Wonderboom South,,,,3356505,,,SNACK,,,,,2/1/03,0,
683,Baobab Cafe & Grill,Cnr Lois & Atterburry  Menlyn Shopping Centre,P.O. Box 1017  Menlyn Central,,,012-3681003,,TAYA-JAN@WEBMAIL.CO.,CAFE,,,,,12/22/03,2,
1582,Barcelos Blue Valley,Cnr Bothrill Ave & Rooihuiskraal,P.O. Box 4983  The Reeds  Centurion,barcelosbluevalley@live.co.za,,012-657 0418,,,REST,,,,W Shelf Trading                                   ,8/1/10,2,
1329,Barcelos CBD/Hatfield/Sunnyside,,P.O. Box 8505  Centurion  0046,hayley@barcelos.co.za,,012-660 0450,,012-660 0464,REST,,,,,7/12/06,2,
714,Barcelos Centurion,Lenchen North & South Str,P.O. Box 66779  Highveld,,,012-6632161,,,SNACK,,,,Demax Consultants                                 ,10/1/04,0,
53,Barcelos Flamed Chicken-Queenswood,Cnr Soutpansber & Stead Ave  ,Postnet Suite #36  Private Bag X1  Queenswood  0121,,,012-3333954,,012-3334449,-1,,,A. Cambell (Vicus)                                ,,1/1/02,2,
54,Barcelos Monument,Stilpad Str  Monument Park,Indus Street 277   Waterkloof Ridge,,,,829234899,,SNACK,,,Nicol Vlok                                        ,NE Foods                                          ,9/26/01,0,
629,Barcelos Wierda Park,Shop 12 Wierda II Shopping Centre  Theuns Van Niekerk Str,P.O.Box 7238  Centurion  0046,,,012-6532926,,,SNACK,,,,Lindt Cafe cc                                     ,3/17/03,2,
52,Barcelos-Castlewalk,Cnr Lois & Nossob Str  Erasmuskloof  ,Postnet Suite # 65  Private Bag 48  Elardus Park  0047,,,012-3478227,826520949,,SNACK,,,I & S. Metcalfe                                   ,,6/1/01,2,
614,Barcelos-Monument Park,,Postnet Suite #65  Private Bag X8  Elarduspark  0047,,,012-3462181,,,SNACK,,,,,8/31/04,2,
55,Barney's Den,82 Crocodile Str  Brits  0250,P.O. Box 23030  Gezina  0031,,,012-2502885,,,OTHER,,,Antonio Barradas Pestana                          ,,1/1/95,2,
711,Bathopele Take Aways,137 Van Der Walt Str  Pretoria  ,,,,,,,CAFE,,,,,,2,
966,BBC Labour Borkers (Union T/A),13 Boundary Lane  Oakdene  2190,P.O. Box 708  Bassonia  2061,KARIN@BBCLABOUR.CO.ZA,,011-436 2211/2,,011-435 9366,SNACK,,,,,10/1/05,2,
630,Beach Cafe,Lenchen Str South,P.O.Box 10972  Centurion,,,012-6635424,,,REST,,,,                                                  ,1/1/99,2,
1635,Beans About Coffee,Cnr Nellmpaius & Van Ryneveld,Postnet Suite #431  Private Bag X8  Elarduspark  0047,irene@beansaboutcoffee.co.za,,"741,336,063",,,CAFE,,,,,8/1/12,2,
561,Beef & Lobster Centurion,Shop 25 Cnr Rabie & Glover   Highlands Shoping Centre  Lyttelton,,,,012-6648760,,,REST,,,,Tosanini Retail Investment                        ,11/1/99,0,
1045,beef & Lobster Faerie Glen,Cnr Hnas Strydom & Olympus Drive  Faerie Geln,Office in One  Suite 91  Private Bag X 13  Elardus Park0047,,,012-9912883,,"866,832,644",REST,,,,Bright Idea Projects                              ,4/1/06,0,
993,Bee's Tavern,186 4th Ave,P.O. Box 46152,,,"3,218,215",,,OTHER,,,,,10/1/02,2,
57,Beetees Take Away,Shop C6A  Asian Complex   Mogul Str  Asian Bazaar,,,,012-3261449,,012-3261499,CAFE,,,,,2/18/02,2,
47,Bel-Air Restaurant,221 St Joseph Ave  Eersterust,,,,012-8066406,,,REST,,,G.O. Holworhty                                    ,,4/1/01,2,
58,Bel-Air Restaurant,221 St. Joseph Ave  Eersterus,,,,012-8066406,,,REST,,,,,4/1/01,2,
48,Belle Ombre Catering Services ,Belle Ombre Station  Pretoria  0001,P.O.Box 46136  Belle Ombre  0142,,,012-3243120,,,CAFE,,,R.C. Nunes                                        ,Belle Ombre Catering Services cc                  ,10/1/00,2,
1527,Bellows Burgers,742 Amandelboom Str  Doornpoort,,,,012-547 5732,,012-547 5731,FISH,,,,,10/11/11,2,
1213,Belmont Cafe,261 Mitchell Str  Pta West  0001,,,,"3,273,161",,,-1,,,,,1/1/80,2,
1570,Benji & neo Trade cc,"231 Aristata Str,  Dorandia  0182",P.O. Box 17315  Pretoria North  0116,sedma2@telkomsa.net,,012-565 5209,,012-565 5207,-1,,,,,,2,
908,Bergies Pizza & Ribs T/Away,1189 Charl Cilliers Str  Mountain View  0082,Leonidestraat 1293  Mountain View,,,3772137,,,SNACK,,,,,3/1/06,2,
979,Bethel Soul Food,271 Pretorius Street  Pta   0002,P.O. Box 13084  The Tramshed,,,"3,205,935",,,REST,,,,,9/1/06,2,
188,BG's Fried Chicken Brits,Cnr Maclean & Koperasie Ave  Brits,P.O.Box 655  Brits  0250,,,012-2521227,,,REST,,,,,2/1/04,2,
1183,Biccs Catering Services cc,"103 Club Ave,   Waterkloof Heights",P.O. Box 25408  monument Park,,,"3,463,203",,,SNACK,,,,,6/5/07,2,
1532,Big Als Glen Village,Shop 35B Glen Village South  Cnr Hans Strijdom/Olynous/Skukuza Str  ,Postnet Suite 207  Private Bag X20009  Garsfotein  0042,faerieglen@bigals.co.za,,"127,521,515",,,-1,,,,,,-1,No reg form
1574,Big Al's Witbank,"Ben Fleur Boulevard, Erf 2825  Shop 35, Ext 13, Ben Fleur   Witbank","Big Al's Postnet Suite 349,  Private Bag X7297  Witbank  1035",stefansnyman@me.com,,"871,502,949",,"866,367,380",-1,,,,Panorma Restaurants                               ,1/1/12,2,
44,Big Bite Roadhouse,265 Danie Theron Str  Pretoria North,P.O.Box 16619  Pretoria North,,,012-5655752,,,RH,,,Gerhard/Sannie                                    ,G A Bouwer                                        ,1/1/97,2,
1110,Billy the Bums Pta,576 Genl Louis Botha Ave  Garsfontein  0042,P.O. Box 3198  Cramerview  2060,,,3617049,,3617039/0866188368,REST,,4150238170,,PTA Entertainment (Pty) Ltd                       ,,2,
45,Billy's Village Steakhouse,426 Rodericks Str,,,,012-3651318,,012-3612141,REST,,,Eleni Kyriazis                                    ,,5/1/00,2,
805,Bilton Ridge,Cnr Jacobson & Freesia Rd  ,"P.O. Box 71318  Die Wilgrs,  0041",,,"3,613,942",,,SNACK,,,,,1/1/02,2,
1429,Bimbos Doringkloof,Shop 7778 Lupin Ave  Doringkloof Mall  Doringkloof,,,,012-667 5264,,012-667 5264,SNACK,,,,,8/1/10,2,
46,Bimbos Witbank,Watermeyer Str  Witbank,P.O.Box 2472  Witbank,,,013-6975121,836288865,,SNACK,,,G.C. Hammond                                      ,G.E. Caravan                                      ,1/1/98,2,
1019,Biosynergy ,Shop 38 Kolonade Centre,P.O. Box 26139  Monument Park,,,"5,482,518",,,SNACK,,,,,7/1/02,2,
552,Birdies & Bogeys Golf Cafe,Cnr John Vorster & Logan   Highveld,P.O.Box 66233  Highveld  0163,,,012-6650924,,012-6650925,REST,,,,Giana Catering cc                                 ,9/25/99,2,
42,Birdi's,Shop 36 & 37  Atterbury Value Mart,P.O.Box 446  Garstfontein  0042,,,012-9911959,,,-1,,,Vanessa White                                     ,Vanessa White                                     ,1/1/03,0,
43,Bishop's Bistro,95 Haymeadow Cresent  Cnr Patrick & Hans Strydom  Faerie Glen,Postnet Suite 283  Private Bag X200009  Garstontein  0042,,,012-9916508,,,REST,,,                                                  ,Bishop's Bistro cc                                ,5/1/01,0,
37,Bismillah Restaurant & Take Away,47 Job Ave  Eersterust,,,,012-8066314,725324310,,REST,,,,,1/1/02,2,
38,Bistango Restaurant,Cnr Schoeman & Beckett  Arcadia,P.O.Box 317  Wendywood  2144,,,012-3444690,,,REST,,,C.Lubbe                                           ,,1/1/99,0,
39,Bites Fast Foods,68 Glenwood Rd  Lynnwood Glen  Pretoria,,,,012-3614106,,,SNACK,,,F.C. Van Zyl                                      ,,4/1/96,2,
40,Black Steers - Centurion,Saltlake Ave  Centurion,P.O.Box 26802  Eastrand  1462,,,011-8234499/4439,,,SNACK,,,P.M. Nettman                                      ,,11/1/00,2,
1330,Black Steers Witbank,Witbank Mall  Witbank,,blacksteerswitbank@telkomsa.net,,,"834,601,365",013-692 5428,REST,,,,Melody Street No 8                                ,6/19/09,2,
684,Blue Crane Restuarant,156 Melk Str,P.O. Box 764  Groenkloof  0027,,,012-4607615,,,REST,,,,,5/1/97,2,
603,Bob City T/A,Shop No 1  Prinsben Building  73 Prinsloo Str  Pta,,,,012-3258832,,,CAFE,,,,,10/1/04,2,
1331,Bodubelo Catering,142 Muesuem Park   Cnr Minaar & Bosman Str,P.O. Box 11874  Tramshed  0126,lizzy@bodubelo.com,,012-326 3838,,"866,643,580",OTHER,,,,,6/1/10,2,
773,Borellos Pizza,Chris Hani Drive  Bela-Bela,P.O. Box 426   Ifafi,,,014-7364675,,,SNACK,,,,,,2,
32,Bostanian Family Restaurant,Cnr Seatles & President Str,P.O.Box 3149  Witbank,,,013-6561160,,,REST,,,Sean Coetzee                                      ,,6/14/01,2,
1267,Boston Kitchen Deli,11 Hazelwood Rd  Hazelwood,P.O. Box 12000  Marulana  0161,liesbethbarnard@g.mail.com,,012-460 2425,,012-346 2363,REST,,,,Liberty Man Investements                          ,12/15/08,2,
41,Boston Tea Party,Cnr Lois & Glen Manor Ave  Menlyn,P.O. Box 11684  Centurion  0046,,,012-3653625,,012-3610797,REST,,,R. Van Schalkwyk                                  ,,3/1/01,2,
194,Bosvelder Pub & Restaurant,Silver Creek Building  Suite 75  Hendrick Verwoerd   Centurion,Private Bag X132  Centurion 0046,,,012-6531105,,,REST,,,,Crystal Properties cc                             ,,2,
33,Boulevard Coffee House,De Boulevard Str  Uitkyk Centre  Silverton,P.O.Box 73944  Lynnwood Ridge  0040,,C/o Meinthies & Vermooten  Brooklyn Court - Lange Str  New Muckleneuk,012-8049318,,,REST,,,M.D. Le Roux/C.T. Vermaak                         ,Boulevard Koffiehuis Bk                           ,1/30/77,2,
1488,BPE Corporate Catering & Event Planning Services,Part 176 of 313  Kenneth Str  Kameeldrift West  Pretoria,P.O. Box 49206  Hercules   Pretoria  0030,bencatering@yahoo.com,,,833216470,"865,196,072",FUNC,,,,,10/1/06,2,
1443,Braza Irene Village Mall,Shopo 95A   Irene Village Mall,P.O. Box 12510  Die Hoewes  0163,,,012-662 3828,,,REST,,,,Latin American Goods                              ,4/1/10,2,
1481,Braza Menlyn,Shop G5LA Menlyn Park  Menlyn,P.O. Box 73444  Lynnwood Ridge  Pretoria  0040,menlyn@braza.co.za,,012-368 1724,,012-3681725,REST,,,,OCB Foods N:4                                     ,12/1/08,2,
34,Brazilian,Waterfall Mall,P.O.Box 2222,,,,,,REST,,,,,7/1/01,2,
1287,Bread Basket Parkview,Cnr Garsfontein & Netcare Rd  Parkview,P.O. Box 50476  Moreleta Village,parkviewpta@breadbasket.co.za,,012-993 1708,,866074080,OTHER,,,,Christiaan Saaiman cc trading                     ,7/30/09,2,
606,Breadking S/m & Bakery,Cnr Colin & Robyn Str   Waverley  ,P.O.Box 23030  Gezina  0031,,,012-335 2899,,,CAFE,,,,,1/1/02,2,
36,Brookly Coffee Corner,Shop 241  Brooklyn Mall,,,,012-3461136,,,OTHER,,,Chris Kellaris                                    ,,,2,
1547,Brookly Grill,Shop 1A Finforum Centre  Cnr Zambesi & Dr V.D. Merwe  Montana,As above,meveritt2@gmail.com,,,,012-548 3944,REST,,,,,2/1/12,2,
22,Brooklyn Gourmet Grill,Shop 13 Brooklyn Square  Cor Middel & Veale Str  Pretoria,,,,012-4601088,,,REST,,,H.Sideris                                         ,,6/30/00,2,
1470,Bunkhouse Restaurant,397 Scheoman Street  Pretoria,P.O. Box 32025  Totiusdal  0134,,,,"832,832,205",,SNACK,,,,,,2,
933,Burger Delux R/house Pta West,459 Church Str  Pta West  Pta,P.O. Box 2119  Southdale  2135,,,"114,358,787",,"114,358,788",RH,,,,,6/1/05,2,
730,Burger Deluxe R/h Hercules,512 V/D Hoff Rd  Hercules  Pta,P.O. Box 42486  Fordsburg  2033,,,012-3794038,,,RH,,,,,12/1/04,2,
26,Burger Ranch - Wierdapark,Cnr Chris Hougaard & Springbok Str  Wierdapark,P.O.Box 164  Wierdapark,,,012-6547457,825507038,,REST,,,A.G. & C Van Der Heever                           ,A en C V/Den HeeverBk cc 2001/025566/23           ,4/1/01,2,
1420,Burgerbox Road House,Shop No 1 Cynthia Comlex  Waterfall   Rustenburg  0089,P.O. Box 751061  Gardenview,firakis@telkomsa.net,,011-615 2300,,011-615 1324,RH,,,,Picabiz 52 cc                                     ,7/1/10,2,
936,Burgerrama,360 Mitchell Str  Pretoria West,,,,"3,270,481",,,RH,,,,,11/5/05,2,
27,Burgundy's - Pretoria North,Burger Str  Pretoria,P.O.Box 93329  Boordfontein  0201,,Wilhelm Str 883  Claremont,012-5464229,,012-5404229,-1,,,G. Pieterse                                       ,Wilhelm ST 883 Kc                                 ,2/28/03,2,
28,Burgundys - University of Pretoria,Clubsaal  Univeristy of Pretoria,P.O. Box 1954  Brooklyn Square  0075,,,012-4203314,,,REST,,,Fatima De Gois                                    ,Henque 4144cc                                     ,8/1/01,2,
1417,Burgundys Atterbury Value Mart,Shop 1.12 Atterbury Value Mart  Atterbury Rd  Faerie Glen  0081,,,,012-991 4789,,012-991 4789,REST,,,,,10/1/04,2,
29,Burning Arrow Spur,Cnr Soutpansberg & Stead Ave  ,P.O.Box 727  Wierdapark  0149,,,012-3332146,,,REST,,,F.R. & N. Marais                                  ,Telegenix BK 91                                   ,10/20/00,2,
30,Bus Stop Take Away,,,,,012-3742983,,,CAFE,,,D. Naidoo                                         ,,1/2/03,2,
788,Bushman's Rock Restaurant,Plot 570  Wewer Str  Kameeldrift East,P.O. Box 916  Derdepoortpark,,,8082027,,,REST,,,,,9/1/05,2,
789,Buy Rite - Booysens,1179 Cnr Attie & Boekenhoutkloof Str  Booysens  ,P.O. Box 845  Silverton,,,8030847,,,CAFE,,,,,1/1/05,2,
1630,Buy Rite Les Marais,695 Paul Kruger St  Les Marais,,,,,"842,984,554",,-1,,,,,,2,
35,Buyrite Hammanskraal,Renbro Centre  Hammanskraal,P.O.Box 1456  Hammanskraal  0400,,,012-7110300,,,OTHER,,,Da Sousa                                          ,Broadbank Investors No 16                         ,1/1/03,2,
1058,C.M. Cormas Trading,Government Printing Works  Cnr Bosman & Proes Str,P.O. Box 14096  The Tramshed  0126,,,3344723,,,REST,,,,,12/1/05,2,
559,Cabinet Staff Catering,242 Struben Str  Pta  0002,,,,012-3148278,,,OTHER,,,,,9/4/00,2,
631,Cactus Creek Restaurant,23 Dely Rd  Hazelwood Club Centre No 1,P.O.Box 11528  Maroelana,,,012-4604707,,,REST,,,,,3/1/03,0,
677,Cafe 41 - Centurion,"317 Heuwel Str,  Centurion  0046",,,,012-6431164,,012-6431178,REST,,,,,12/1/04,0,
1378,Cafe 41 at the Riverwalk,41 Matroosberg Rd  Ashlea Gardens,,fourtyone@theriverwalk.co.za,,012-751 1592,,"865,919,831",REST,,,,,2/1/10,2,
685,Cafe 41 Groenkloof,Cnr Baines & George Storrar,P.O. Box 1726  Groenkloof  0027,,,012-4605216,,,CAFE,,,,Circle Seven cc                                   ,5/1/04,2,
60,Cafe 41-Eastwood Village cc,Shop 2  Eastwood Village  Eastwood Rd,,,,012-3428914,,012-3428916,REST,,,,Cafe 41 Eastwood Village cc                       ,6/13/03,2,
1361,Cafe 52 Pub & Restaurant,Shop 16B Level 1  Sancardia Mall  Arcadia  0083,P.O. Box 1525  Wingate Park  0153,"zakes@cafe52,co.za",,012-326 4553,,012-326 1525,REST,,,,,6/1/09,2,
31,Cafe Africa,Shop 37  1115 Burnett Str  Hatfield  0082,P.O.Box 14416  Hatfield  0028,,,012-3621604,836809488,,REST,,,,Beleggings cc                                     ,3/1/99,2,
776,Cafe Arte,Unit 12  Corporate Corner Office Park  Cnr Jhn Voster & Marcocopolo Str  Highveld,P.O. Box 66669  Highveld  0169,,,6654332,,,OTHER,,,,,8/1/04,0,
